"Quina visió integral del cos humà ha recuperat la neurociència moderna, superant el cerebrocentrisme?","La visió que tot el cos està interrelacionat, incloent l'activitat cardíaca, respiratòria i intestinal."
Quins són els tres eixos de l'organisme que ja identificava la medicina de Galè?,"Cervell, cor i abdomen."
"Segons Nazareth Castellanos, quina relació existeix entre la memòria i la respiració?",La respiració influeix directament en els processos de consolidació i recuperació de la memòria.
Quin paper juga la microbiota intestinal en el desenvolupament de les neurones?,La microbiota intervé en la producció i regulació dels factors de creixement neuronal.
Quins canvis produeix la meditació en la morfologia de l'escorça frontal?,La pràctica de la meditació pot augmentar el gruix i l'activitat d'aquesta àrea cerebral.
Quin tipus d'ones cerebrals apareixen amb més freqüència durant els estats de meditació?,Ones $\alpha$.
"Completa la cèlebre frase de Santiago Ramón y Cajal: «Tot home pot ser _____ del seu propi cervell, si s'ho proposa».",escultor
Què és la plasticitat neuronal?,"La capacitat del cervell per aprendre, adaptar-se i transformar la seva estructura segons l'experiència."
"Segons la biosofia de la respiració, com actua aquesta com a «pont»?","Estableix una connexió entre el món exterior i l'interior, i entre el que som i el que creiem ser."
Quin és l'efecte d'una respiració irregular sobre els sistemes de predicció cerebral?,"Genera alarma i estrès, dificultant les prediccions i atenuant capacitats cognitives i emocionals."
Com afecta la inhalació al diafragma segons la descripció biològica de la respiració?,La inhalació provoca que el diafragma baixi i exerceixi pressió sobre el pit i l'abdomen.
Quin efecte té l'exhalació sobre els mecanismes cerebrals de l'angoixa?,L'exhalació actua com una rendició que atenua els mecanismes de l'angoixa.
Què succeeix amb el diafragma durant el procés d'expiració?,El diafragma s'aboveda cap amunt.
"En l'experiment de les cartes d'Iowa, quina reacció física precedia la deducció racional de la pèrdua de diners?",El cos emetia senyals com contraccions musculars o pell de gallina abans que la ment ho comprengués.
Concepte: Marcador somàtic,Definició: Canvis corporals que reflecteixen un estat emocional o cognitiu abans que la persona en sigui conscient.
"Davant d'una incongruència entre el llenguatge verbal i la postura corporal, quina informació prioritza el cervell?",El cervell prioritza la informació que rep de la postura corporal.
Quina hipòtesi sobre la tristesa va plantejar William James respecte al cos?,"Que no plorem perquè estem tristos, sinó que estem tristos perquè el cos plora."
